PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/25/2025,8:04:40 PM,1,1,Braden Mehn,,Left,Kcl merchants 2025,Cody Delfavero,,Left,Kcl bobcats 2025,Stretch,1,Top,0,0,0,Slider,,InPlay,,Popup,Out,1,0,,67.08114971413426,3.779326826907154,0.22156850747726192,2201.3605395842287,287.5373699013055,3:30,4.660672003849686,-1.7220121489499953,6.0000001920000035,-63.007062053899546,0.6404268759793936,11.564308273070148,2.9276950664241777,-0.5523943482565569,60.18863184811048,-8.154318448130837,2.422972632496916,0.5741986400142907,,,,,,,,,,,,-6.185062123311202,-0.9923841491849975,1.6972972945041658,49.999999999999964,4.932640367539918,-0.6553358881006663,-97.26730965004451,4.904136563984929,-5.7726286313948565,18.921971792663264,-33.10025938611448,KCL Merchants 2025,KCL BobCats 2025,,,,2da2f4a4-8682-4293-bdc7-cea5bbb01535,572dff91-5ede-4cbc-bcdb-0de894da5948,67.25531932677335,4.647515071453905,-1.72380821313801,3.93372616517419,0.2434110665922172,60.291906584255024,2.9388601882765193,-0.551386501449533,-7.986593058483498,2.437955704537707,0.5739896387932376,11.35434716662132,-3.2737042559870204,61.914833852205284,12.688265665015361,1036.36416376039,1942.147663106952,47.07834746397918,0.14186013749741194,0.8822487857776199,-0.4489017502562569,,,,,,,,,,,,,,,,,0.9968905496905187,0,,,medium,high,101.41943909851383,-22.428930708308634,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
2,06/25/2025,8:05:14 PM,2,1,Braden Mehn,,Left,Kcl merchants 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,0,0,Sinker,,BallCalled,,,,,,,76.81876225200878,1.6121637988709232,3.2163582533882646,1675.7772200025797,103.42047914629961,9:30,5.1057700152466445,-3.7013951353608814,6.0000001920000035,-41.245028797316856,7.113783289467783,-17.064916213003688,3.1826196930548973,-2.3383319095495696,68.39235279708345,-6.1503327695582835,-1.2123962969887854,0.5005060534237072,,,,,,,,,,,,10.340135719946062,3.2950825540176525,3.448999903662056,50.0,5.213481192925679,-5.788873184256432,-111.43719558609827,1.997286807115405,12.712734944348103,24.185698873401485,-28.122892786561923,KCL Merchants 2025,KCL BobCats 2025,,,,2da2f4a4-8682-4293-bdc7-cea5bbb01535,0faed845-468c-4013-995e-b2b78a4f83b5,77.02421590808393,5.100888438282067,-3.7115035191558365,1.6682967676591334,3.3363664137163234,68.53976013436021,3.187306491805357,-2.330872228806822,-6.075978303940866,-1.094649690378736,0.5003117799792173,-18.1941414538409,4.860584760790708,28.58535247656939,19.582621295379255,1471.5088936621714,801.8047561300111,87.81053209804978,-0.20380436951363906,0.478467392061086,0.8541268838418627,,,,,,,,,,,,,,,,,0.9943678287226136,0,,,medium,high,107.62435916584134,2.4369378563520856,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
3,06/25/2025,8:05:26 PM,2,2,Braden Mehn,,Left,Kcl merchants 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,1,0,Sinker,,Foul,,,,,,,75.7012212336986,1.3547143230826677,2.0526270704613094,1724.2802396913246,104.32347257852771,9:30,5.049412979161617,-1.2390352832926899,6.0000001920000035,-42.28401358148406,7.45734071436015,-17.69859991201068,2.7858511493559175,-0.8054035136785175,67.89482052515629,-6.656827890437327,-1.3134244244266997,0.5076101823578746,,,,,,,,,,,,10.291811439852426,3.5667344595528943,1.0819923541193566,49.99999999999997,5.135424666385101,-3.4558658659054826,-109.9233886220024,1.445265929609344,12.298345212242218,23.727765058776498,-27.911929946484854,KCL Merchants 2025,KCL BobCats 2025,,,,2da2f4a4-8682-4293-bdc7-cea5bbb01535,f7bc75be-eb20-4fbf-8efd-3371bc2524cc,75.90199269303221,5.044409280220103,-1.249378593044006,1.4124205936010026,2.175799927188068,68.03880590326807,2.7906986542960586,-0.7975306508346263,-6.583020740410078,-1.193979277188713,0.507411720495661,-18.85559135888377,5.088986754357231,25.95914210115201,19.7943154913035,1550.3114343605025,754.7693697289615,89.91064205653917,-0.222435307136031,0.43773010462851325,0.8711572129307145,,,,,,,,,,,,,,,,,0.991353519540189,0,,,medium,high,107.81488394217314,1.9598265055849369,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
4,06/25/2025,8:05:43 PM,2,3,Braden Mehn,,Left,Kcl merchants 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,1,1,Slider,,InPlay,,GroundBall,Error,0,0,,68.50209776503452,3.128169147325761,0.5846983993453101,2292.776985568116,286.003479307012,3:30,4.8504716399244465,-2.416916373702917,6.0000001920000035,-60.46128191194678,0.5323941459892794,13.271832938067801,2.722375539164324,-0.7674963813828898,61.52394990991791,-8.31831920965661,3.110643572231459,0.5621004420886248,94.0313445026722,7.4410517747415845,8.87917658065371,1450.2067919658264,23.768784077848398,107.40132631411176,4.458052630035451,138.40954703613144,,13.363386492572126,1.180397430352014,-6.981411073561876,-0.8259949797798376,2.3616413177240148,49.99999999999994,5.070704984281402,-1.341487607156391,-99.38681047820798,3.941207112450693,-6.798240456927266,19.855091160618375,-32.97837301425692,KCL Merchants 2025,KCL BobCats 2025,,,,2da2f4a4-8682-4293-bdc7-cea5bbb01535,afed6bd2-4bd8-43a3-9cf4-4f9b9f3fb460,68.67441077561622,4.837651333649778,-2.4173613868828188,3.2792151834559116,0.5903839841203588,61.627459842268316,2.733237933743852,-0.7674936337437946,-8.155380764970898,3.110410140381993,0.5618993755503086,13.213789644193072,-3.2777158767202232,57.90884390431245,13.367570581498478,1218.0786029090095,1942.4496963077452,53.12678078052095,0.1464682651815038,0.8472039402586882,-0.5106785005312773,14.391635007725796,92.1220922897074,12.177631253706778,0.5975891648029393,0.18734668897497475,2.5537279732623115,31.990076372304717,134.6619386628649,9.935692880655733,-3.53487008236673,-0.037942026673318585,-0.05128070338093202,-0.11239402213653857,-0.9923395957275555,,,0.9920655585042388,0,0.995878490505205,58.10820725834264,medium,high,77.96918647665136,-30.509966359403446,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
5,06/25/2025,8:06:20 PM,3,2,Braden Mehn,,Left,Kcl merchants 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Stretch,1,Top,1,1,0,Sinker,,StrikeCalled,,,,,,,76.75509216706676,0.8127963619291725,2.414435544874999,1726.4826733326045,105.3640159679888,9:30,5.013279355783039,-2.2722894840717367,6.0000001920000035,-40.906135947019166,7.4624865894320465,-16.130561845258764,2.360564250208345,-1.3712127236295215,68.89546745794796,-6.932297801758246,-0.6521395868098591,0.500556819150039,,,,,,,,,,,,9.563782933647826,3.7581856049676845,2.084828874007184,49.999999999999936,5.055906939649718,-4.251992150850991,-111.45010986437894,0.448262249195331,11.754222294324297,24.295742289776857,-27.555108594700155,KCL Merchants 2025,KCL BobCats 2025,,,,2da2f4a4-8682-4293-bdc7-cea5bbb01535,ec2d9bb1-9318-433d-afca-b76d635ba5b5,76.95980549925966,5.008684352944761,-2.2822063163620525,0.8659341656058195,2.533023349870429,69.04552062589086,2.365146458501396,-1.3635808766245219,-6.862533940346124,-0.5366085079140483,0.5003596012919346,-17.245023607383107,5.210132502292247,33.07160579866237,31.583339273205524,1446.7739100775837,942.1187156810529,83.79892439261478,-0.2220257318830706,0.5456867481111147,0.8080411792215194,,,,,,,,,,,,,,,,,0.9839913484535494,0,,,medium,high,61.57499465411503,-63.718385689033234,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
6,06/25/2025,8:06:32 PM,3,2,Braden Mehn,,Left,Kcl merchants 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Stretch,1,Top,1,1,0,Sinker,,BallCalled,,,,,,,76.45073767875778,0.36906085209772643,1.8417571264951467,1769.3847702832522,99.90471594121806,9:15,4.837758245543347,-2.012391448859133,6.0000001920000035,-42.642588254573326,6.110427939756988,-18.871622441121392,1.6273938971953952,-1.8727195034265824,68.7346188786443,-7.695123850866309,-1.7482048954510763,0.5025418880612583,,,,,,,,,,,,10.857156779410316,3.179442115409647,1.8732182987843293,49.999999999999986,4.843210529907523,-3.0499243273638674,-111.05100217337042,-0.4615855605240093,13.235473555195112,24.29860727604864,-28.298134105201022,KCL Merchants 2025,KCL BobCats 2025,,,,2da2f4a4-8682-4293-bdc7-cea5bbb01535,3accd111-e7a8-4326-a8aa-071e6730a794,76.64177695130019,4.832171476694428,-2.0228929797109045,0.4338224953117216,1.9665350714593588,68.86934618187722,1.6326342730924046,-1.864685813205378,-7.616364541547277,-1.6267829852399032,0.5023544985859234,-20.042352406353274,3.7069297808361994,20.414576052378347,6.93945634611345,1658.255518715644,617.1799575159807,93.71932812839697,-0.1612067876011799,0.34881048366725764,0.9232245762083686,,,,,,,,,,,,,,,,,0.9742913455470561,0,,,medium,high,96.24551071150212,-14.128082760827443,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
7,06/25/2025,8:06:46 PM,3,3,Braden Mehn,,Left,Kcl merchants 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Stretch,1,Top,1,2,0,Sinker,,BallCalled,,,,,,,76.55904467926642,2.5413087237741294,3.419257257242909,1674.4291783827484,99.0526705401008,9:15,4.621759600282172,-3.081153731110439,6.0000001920000035,-42.88712806970008,5.878843128416868,-18.182193099299862,3.4154731698402427,-1.4147226270474649,68.45229432490268,-5.589592522287638,-0.03398713408142206,0.5026086531573348,,,,,,,,,,,,11.01498538792328,2.3064910681303945,2.81282169115085,50.0,4.8044682600273925,-6.128166549392806,-110.97215805756001,3.7494759277697574,13.42927449955442,23.98918383035389,-29.362016651425822,KCL Merchants 2025,KCL BobCats 2025,,,,2da2f4a4-8682-4293-bdc7-cea5bbb01535,d038b162-9e93-47d3-a98a-857f8620cbc4,76.7624337414774,4.6160711335448426,-3.091752494565792,2.6064472296871086,3.544171660017096,68.59551013819483,3.420711147091576,-1.4067950582633626,-5.509407671684655,0.0863265641224372,0.5024178915071059,-19.35817056939641,3.528365033669163,24.325570566534015,14.502187967297264,1525.772567822588,689.7326617607667,91.12195293301441,-0.1433734269990543,0.4119210717690352,0.8998694855717669,,,,,,,,,,,,,,,,,0.9973770509168514,0,,,medium,high,103.05196917056755,-20.731490806918348,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
8,06/25/2025,8:06:58 PM,3,4,Braden Mehn,,Left,Kcl merchants 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Stretch,1,Top,1,2,0,Changeup,,BallCalled,,,,,,,67.56659292174974,4.706326798765433,1.5849250590534418,2175.625808536573,276.8761866464847,3:15,4.901139112106409,-2.320460347911972,6.0000001920000035,-60.00219881039414,2.9926939401970287,13.270333427374778,4.28652778142029,0.25879598120232267,60.36445248243248,-6.669540885616892,4.107473312875522,0.5712473427295806,,,,,,,,,,,,-6.623368042809496,-0.0633691660184903,2.1836843268338995,49.99999999999997,5.250941035202564,-3.028214502433734,-97.80990185400412,6.599953786758055,-6.244109415728304,19.284559748239786,-32.23379018982051,KCL Merchants 2025,KCL BobCats 2025,,,,2da2f4a4-8682-4293-bdc7-cea5bbb01535,b725000e-17dc-4f6b-bfe7-420a993f7d54,67.75453624475931,4.88916899063497,-2.320652208300296,4.846334438052205,1.5875488044462236,60.48286145440612,4.296919644758858,0.2585947538547235,-6.51275918492667,4.104178778585296,0.5710245853782784,13.24093667729997,-0.8365684683346637,56.94117592034731,7.338661879017702,1186.8034032286114,1823.4158441933653,54.54997815212123,0.06530953435230274,0.8381109642286693,-0.5415761039432738,,,,,,,,,,,,,,,,,0.9955142079716773,0,,,medium,high,96.60479569111595,-26.483382351140584,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
9,06/25/2025,8:07:13 PM,3,5,Braden Mehn,,Left,Kcl merchants 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Stretch,1,Top,1,3,0,Sinker,,Foul,,,,,,,75.41948804747918,3.1259915720998994,3.1923955497535816,1673.8852066556904,108.1453856689991,9:30,4.148017061013911,-2.6001906096592906,6.0000001920000035,-41.64534953651499,8.644200891172993,-16.93463741782032,3.5902540045056615,-1.0413441032445827,67.31225374219996,-4.774709486134721,-0.024780270026898914,0.5103996865821225,,,,,,,,,,,,10.264537118704503,3.5996043507166307,2.349675836619502,49.99999999999993,4.379217520839782,-5.635039418241071,-109.28836194376431,4.845200998907828,12.134483149497502,23.309639926277747,-27.918685916552654,KCL Merchants 2025,KCL BobCats 2025,,,,2da2f4a4-8682-4293-bdc7-cea5bbb01535,e675a238-4d5d-4ebf-80e4-398f2ac35831,75.63348543176411,4.143520006585291,-2.6104402955631603,3.1769870778516656,3.313752072915742,67.46835605563483,3.5947701580222935,-1.0335586966377726,-4.705263321120768,0.09298254474365875,0.510190282380957,-18.07604498903289,6.343795008509336,29.23642891485613,13.35347723710559,1460.6518413123324,817.5499272409338,87.26117152505435,-0.2717568237998974,0.4884145722718605,0.8292161565663605,,,,,,,,,,,,,,,,,0.9960861502796442,0,,,medium,high,102.01812951339504,-2.756516349231414,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
10,06/25/2025,8:07:41 PM,3,6,Braden Mehn,,Left,Kcl merchants 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Stretch,1,Top,1,3,1,Sinker,,Foul,,,,,,,75.76938798510923,1.1280312410918154,2.642718693439633,1609.2792725232998,103.11323604763012,9:30,4.982174567912773,-2.9399056848021234,6.0000001920000035,-42.85031629391525,6.807487505254116,-15.84059787483973,2.460951591073288,-1.8020863054427436,68.00320229018811,-6.985403798309988,-0.3681396787610175,0.5071836870614674,,,,,,,,,,,,9.484828759241935,3.2949544382649045,2.7336472206118345,49.99999999999993,5.049400325670182,-4.643274168051067,-109.98994065912869,0.9953442937392761,11.354811121269599,23.646438467408498,-28.229478076131517,KCL Merchants 2025,KCL BobCats 2025,,,,2da2f4a4-8682-4293-bdc7-cea5bbb01535,4ee85c4c-6094-4c27-a2cc-b1ca013217a4,75.97277092369171,4.976909447259395,-2.9498875056661045,1.1885025697151537,2.760848086846607,68.1489393811269,2.465963194040675,-1.7946021700882437,-6.908876881180245,-0.25439221737528955,0.5069841713771187,-16.95140520200581,4.443037844358417,33.3599534976703,53.49193841576646,1344.1222072127266,884.9380029418495,83.52324112801035,-0.18949444088063902,0.5498970986895856,0.813452541779857,,,,,,,,,,,,,,,,,0.9962179843205895,0,,,medium,high,41.85725542581021,-75.22280546371019,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
